caller,F1,Precision,Recall,Coverage
TEforest,0.83,0.93,0.75,20
temp2,0.77,0.94,0.65,20
retroseq,0.66,0.97,0.5,20
temp,0.64,0.98,0.47,20
popoolationte,0.55,0.97,0.39,20
teflon,0.5,0.93,0.34,20
TEforest,0.84,0.95,0.75,50
temp2,0.58,0.95,0.41,50
retroseq,0.81,0.95,0.7,50
temp,0.71,0.98,0.55,50
popoolationte,0.6,0.95,0.49,50
teflon,0.64,0.92,0.49,50
TEforest,0.82,0.92,0.73,10
temp2,0.74,0.96,0.6,10
retroseq,0.31,0.95,0.18,10
temp,0.51,0.99,0.34,10
popoolationte,0.21,1,0.12,10
teflon,0.38,0.98,0.23,10
TEforest,0.72,0.91,0.59,5
temp2,0.68,0.94,0.54,5
retroseq,0.04,1,0.02,5
temp,0.37,0.99,0.23,5
popoolationte,0,0,0,5
teflon,0.14,1,0.07,5
TEforest,0.84,0.95,0.75,30
temp2,0.77,0.95,0.64,30
retroseq,0.74,0.94,0.6,30
temp,0.68,0.98,0.52,30
popoolationte,0.62,0.97,0.45,30
teflon,0.55,0.91,0.39,30
TEforest,0.84,0.95,0.75,40
temp2,0.62,0.93,0.46,40
retroseq,0.79,0.95,0.68,40
temp,0.68,0.97,0.53,40
popoolationte,0.65,0.95,0.47,40
teflon,0.62,0.93,0.47,40
